gust  -> вкус 
hums  -> Гудит 
4 spring brings the lever back  -> 4 пружина возвращает рычаг назад 
He arches an eyebrow.  -> Он выгибает бровь. 
"Snow limbo,  -> «Снежная неопределенность, 
arches arches an eyebrow.  -> Дуги выгибают бровь. 
*callous*,  -> *мозолистый* 
Something stirs in you..  -> Что-то шевелится в тебе. 
it isn't callous,  -> Он не черствый, 
Prod at him  -> Подталкивайте его 
guarding even your *leftovers*  -> охраняя даже ваши *остатки* 
sliding lid  -> Раздвижная крышка 
padlock that  -> Висячий замок, который 
soggy cartons,  -> мокрые картонные коробки, 
egg-rest with one broken egg in it,  -> яйцекладка с одним разбитым яйцом в нем, 
pasta wrapper...  -> Обертка от макарон... 
cereal.  -> злак. 
noodles.  -> лапша. 
threadbare kitchen towels,  -> изношенные кухонные полотенца, 
denim trousers?  -> Джинсовые брюки? 
slime-covered  -> покрытый слизью 
unspool from the garbage,  -> размотать от мусора, 
rank corpse smell fills the air.  -> Запах трупа ранга наполняет воздух. 
odour is faint.  -> Запах слабый. 
"Cadaverine  -> «Кадаверин 
stretched,  -> растянутый 
drab long-sleeved shirt,  -> серая рубашка с длинными рукавами, 
dripping with pus.  -> капает гной. 
over-garment.  -> верхняя одежда. 
rib-knit  -> Ребристая вязка 
mug  -> кружка 
sludge,  -> ил 
thrown in for good measure.  -> брошен для хорошей меры. 
clipboard! A blue plastic clipboard with moist papers hanging from it.  -> буфер обмена! Синий пластиковый буфер обмена, на котором висят влажные бумаги. 
autopsy form..."  -> форма вскрытия...» 
"It must have been cramping my style."  -> «Должно быть, это стесняло мой стиль». 
foreboding quality to it.  -> предчувствие качества к нему. 
Bloodletting  -> Кровопускание 
You should do a thorough inventory of that  -> Вы должны провести тщательную инвентаризацию этого 
uninvitingly.  -> неприглашающе. 
the ledger you found,  -> гроссбух, который ты нашел, 
depiction  -> изображение 
oddly frolicking in saffron.  -> странно резвится в шафране. 
frolicking  -> Резвящихся 
An antique?  -> Антиквариат? 
muffled gong. ,  -> приглушенный гонг. , 
prejudice.  -> предубеждение. 
inane  -> глупый 
denouncing  -> Осуждая 
embezzlement).  -> растрата). 
SBF debacle  -> Фиаско SBF 
tissue?  -> ткань? 
waterlogged  -> заболоченный 
peels off the plastic easily.  -> легко отслаивается от пластика. 
The ledger now looks (marginally) better.  -> Бухгалтерская книга теперь выглядит (незначительно) лучше. 
An aluminium block runs the width of the board,  -> Алюминиевый блок проходит по ширине доски, 
the tip worn down to nothing,  -> наконечник стерся до нуля, 
silvery *sticker*.  -> серебристая *наклейка*. 
